xA;yA;zA;xB;yB;zB;xC;yC;zC
0;91.9459;0;-3.4612;91.9812;3.60306;3.4612;91.9812;-3.60306
0;91.9524;0;-3.48996;91.9957;3.57522;3.48996;91.9957;-3.57522
0;91.959;0;-3.51849;92.0101;3.54714;3.51849;92.0101;-3.54714
0;91.9656;0;-3.5468;92.0244;3.51884;3.5468;92.0244;-3.51884
0;91.9721;0;-3.57488;92.0387;3.49031;3.57488;92.0387;-3.49031
0;91.9787;0;-3.60273;92.0529;3.46155;3.60273;92.0529;-3.46155
0;91.9853;0;-3.63035;92.0671;3.43258;3.63035;92.0671;-3.43258
0;91.9919;0;-3.65773;92.0811;3.40338;3.65773;92.0811;-3.40338
0;91.9985;0;-3.68488;92.0951;3.37397;3.68488;92.0951;-3.37397
0;92.0051;0;-3.7118;92.109;3.34434;3.7118;92.109;-3.34434
0;92.0117;0;-3.73847;92.1227;3.31449;3.73847;92.1227;-3.31449
0;92.0184;0;-3.76491;92.1364;3.28443;3.76491;92.1364;-3.28443
0;92.025;0;-3.7911;92.1499;3.25416;3.7911;92.1499;-3.25416
0;92.0317;0;-3.81705;92.1633;3.22368;3.81705;92.1633;-3.22368
0;92.0383;0;-3.84276;92.1766;3.193;3.84276;92.1766;-3.193
0;92.045;0;-3.86822;92.1897;3.16211;3.86822;92.1897;-3.16211
0;92.0517;0;-3.89343;92.2027;3.13101;3.89343;92.2027;-3.13101
0;92.0585;0;-3.91839;92.2155;3.09972;3.91839;92.2155;-3.09972
0;92.0652;0;-3.9431;92.2282;3.06823;3.9431;92.2282;-3.06823
0;92.0719;0;-3.96756;92.2406;3.03654;3.96756;92.2406;-3.03654
0;92.0787;0;-3.99176;92.253;3.00465;3.99176;92.253;-3.00465
0;92.0855;0;-4.0157;92.2651;2.97257;4.0157;92.2651;-2.97257
0;92.0923;0;-4.03939;92.2771;2.9403;4.03939;92.2771;-2.9403
0;92.0991;0;-4.06282;92.2888;2.90785;4.06282;92.2888;-2.90785
0;92.106;0;-4.08599;92.3004;2.8752;4.08599;92.3004;-2.8752
0;92.1128;0;-4.10889;92.3118;2.84237;4.10889;92.3118;-2.84237
0;92.1197;0;-4.13153;92.3229;2.80936;4.13153;92.3229;-2.80936
0;92.1266;0;-4.15391;92.3339;2.77617;4.15391;92.3339;-2.77617
0;92.1335;0;-4.17602;92.3447;2.7428;4.17602;92.3447;-2.7428
0;92.1405;0;-4.19786;92.3552;2.70926;4.19786;92.3552;-2.70926
0;92.1474;0;-4.21943;92.3655;2.67554;4.21943;92.3655;-2.67554
0;92.1544;0;-4.24073;92.3756;2.64164;4.24073;92.3756;-2.64164
0;92.1615;0;-4.26176;92.3855;2.60758;4.26176;92.3855;-2.60758
0;92.1685;0;-4.28252;92.3951;2.57335;4.28252;92.3951;-2.57335
0;92.1755;0;-4.303;92.4045;2.53896;4.303;92.4045;-2.53896
0;92.1826;0;-4.3232;92.4137;2.5044;4.3232;92.4137;-2.5044
0;92.1897;0;-4.34313;92.4226;2.46969;4.34313;92.4226;-2.46969
0;92.1969;0;-4.36278;92.4313;2.43481;4.36278;92.4313;-2.43481
0;92.204;0;-4.38215;92.4398;2.39978;4.38215;92.4398;-2.39978
0;92.2112;0;-4.40123;92.448;2.36459;4.40123;92.448;-2.36459
0;92.2184;0;-4.42004;92.4559;2.32925;4.42004;92.4559;-2.32925
0;92.2256;0;-4.43856;92.4637;2.29377;4.43856;92.4637;-2.29377
0;92.2329;0;-4.45679;92.4712;2.25813;4.45679;92.4712;-2.25813
0;92.2402;0;-4.47474;92.4784;2.22235;4.47474;92.4784;-2.22235
0;92.2475;0;-4.4924;92.4854;2.18643;4.4924;92.4854;-2.18643
0;92.2548;0;-4.50977;92.4921;2.15036;4.50977;92.4921;-2.15036
0;92.2621;0;-4.52686;92.4987;2.11416;4.52686;92.4987;-2.11416
0;92.2695;0;-4.54365;92.5049;2.07783;4.54365;92.5049;-2.07783
0;92.2769;0;-4.56015;92.511;2.04136;4.56015;92.511;-2.04136
0;92.2843;0;-4.57636;92.5167;2.00476;4.57636;92.5167;-2.00476
0;92.2918;0;-4.59228;92.5223;1.96803;4.59228;92.5223;-1.96803
0;92.2992;0;-4.6079;92.5276;1.93117;4.6079;92.5276;-1.93117
0;92.3067;0;-4.62322;92.5327;1.89419;4.62322;92.5327;-1.89419
0;92.3142;0;-4.63825;92.5376;1.85709;4.63825;92.5376;-1.85709
0;92.3218;0;-4.65298;92.5422;1.81987;4.65298;92.5422;-1.81987
0;92.3293;0;-4.66741;92.5466;1.78253;4.66741;92.5466;-1.78253
0;92.3369;0;-4.68154;92.5507;1.74508;4.68154;92.5507;-1.74508
0;92.3445;0;-4.69537;92.5547;1.70751;4.69537;92.5547;-1.70751
0;92.3522;0;-4.7089;92.5584;1.66984;4.7089;92.5584;-1.66984
0;92.3598;0;-4.72213;92.562;1.63206;4.72213;92.562;-1.63206
0;92.3675;0;-4.73505;92.5653;1.59417;4.73505;92.5653;-1.59417
0;92.3752;0;-4.74767;92.5684;1.55618;4.74767;92.5684;-1.55618
0;92.3829;0;-4.75999;92.5713;1.51809;4.75999;92.5713;-1.51809
0;92.3906;0;-4.772;92.5741;1.47991;4.772;92.5741;-1.47991
0;92.3983;0;-4.7837;92.5766;1.44163;4.7837;92.5766;-1.44163
0;92.4061;0;-4.7951;92.579;1.40325;4.7951;92.579;-1.40325
0;92.4139;0;-4.80618;92.5812;1.36479;4.80618;92.5812;-1.36479
0;92.4217;0;-4.81696;92.5832;1.32624;4.81696;92.5832;-1.32624
0;92.4295;0;-4.82744;92.585;1.2876;4.82744;92.585;-1.2876
0;92.4373;0;-4.8376;92.5867;1.24888;4.8376;92.5867;-1.24888
0;92.4452;0;-4.84745;92.5882;1.21009;4.84745;92.5882;-1.21009
0;92.453;0;-4.85699;92.5896;1.17121;4.85699;92.5896;-1.17121
0;92.4609;0;-4.86621;92.5909;1.13226;4.86621;92.5909;-1.13226
0;92.4688;0;-4.87513;92.592;1.09323;4.87513;92.592;-1.09323
0;92.4767;0;-4.88373;92.593;1.05414;4.88373;92.593;-1.05414
0;92.4846;0;-4.89202;92.5938;1.01498;4.89202;92.5938;-1.01498
0;92.4925;0;-4.89999;92.5946;0.975749;4.89999;92.5946;-0.975749
0;92.5005;0;-4.90765;92.5952;0.936459;4.90765;92.5952;-0.936459
0;92.5084;0;-4.915;92.5958;0.897108;4.915;92.5958;-0.897108
0;92.5164;0;-4.92203;92.5962;0.857701;4.92203;92.5962;-0.857701
0;92.5243;0;-4.92874;92.5966;0.818238;4.92874;92.5966;-0.818238
0;92.5323;0;-4.93514;92.5969;0.778723;4.93514;92.5969;-0.778723
0;92.5403;0;-4.94122;92.5972;0.739157;4.94122;92.5972;-0.739157
0;92.5483;0;-4.94698;92.5974;0.699545;4.94698;92.5974;-0.699545
0;92.5563;0;-4.95243;92.5975;0.659887;4.95243;92.5975;-0.659887
0;92.5642;0;-4.95756;92.5976;0.620187;4.95756;92.5976;-0.620187
0;92.5722;0;-4.96237;92.5976;0.580447;4.96237;92.5976;-0.580447
0;92.5802;0;-4.96686;92.5977;0.54067;4.96686;92.5977;-0.54067
0;92.5882;0;-4.97103;92.5977;0.500858;4.97103;92.5977;-0.500858
0;92.5962;0;-4.97488;92.5977;0.461014;4.97488;92.5977;-0.461014
0;92.6042;0;-4.97842;92.5977;0.421141;4.97842;92.5977;-0.421141
0;92.6122;0;-4.98163;92.5977;0.38124;4.98163;92.5977;-0.38124
0;92.6202;0;-4.98453;92.5977;0.341315;4.98453;92.5977;-0.341315
0;92.6282;0;-4.9871;92.5978;0.301369;4.9871;92.5978;-0.301369
0;92.6362;0;-4.98936;92.5978;0.261402;4.98936;92.5978;-0.261402
0;92.6442;0;-4.99129;92.598;0.221419;4.99129;92.598;-0.221419
0;92.6522;0;-4.9929;92.5981;0.181422;4.9929;92.5981;-0.181422
0;92.6602;0;-4.9942;92.5983;0.141413;4.9942;92.5983;-0.141413
0;92.6681;0;-4.99517;92.5986;0.101395;4.99517;92.5986;-0.101395
0;92.6761;0;-4.99582;92.599;0.0613707;4.99582;92.599;-0.0613707
0;92.6841;0;-4.99615;92.5994;0.0213423;4.99615;92.5994;-0.0213423
