t,x1,y1,z1,vx1,vy1,vz1,x2,y2,z2,vx2,vy2,vz2,x3,y3,z3,vx3,vy3,vz3,energy,distance
5.15358,-1.83017e-07,-0.000381172,0,5.75754e-05,-0.000118239,0,0.00279006,0.00317924,0,-2.2757,1.7515,0,0.00279127,0.00318582,0,-2.27779,1.75143,0,-0.033737,0.00210379
5.21981,-2.16197e-07,-0.00038593,0,-3.13255e-05,-0.000139241,0,0.00409941,-0.00232937,0,1.23939,2.57809,0,0.00410605,-0.00233018,0,1.23807,2.58587,0,-0.0337359,0.00143132
5.28335,-9.86365e-09,-0.000390724,0,3.00978e-05,-6.48425e-06,0,-0.00405314,0.00144139,0,-1.19025,-2.66698,0,-0.00405982,0.00144159,0,-1.19011,-2.66848,0,-0.033742,0.00171005
5.3486,-1.99609e-07,-0.000395578,0,4.74995e-05,-0.000128753,0,0.00344389,0.00254753,0,-1.87513,2.16442,0,0.00344964,0.00255095,0,-1.88149,2.17007,0,-0.0337368,0.000769181
5.41438,-1.80823e-07,-0.000400275,0,-5.86527e-05,-0.000116855,0,0.00270315,-0.00402458,0,2.3186,1.69668,0,0.00270461,-0.00403111,0,2.32009,1.69683,0,-0.0337418,0.00184609
5.48006,-1.22162e-08,-0.000405172,0,-3.33102e-05,-8.02012e-06,0,-0.0039618,-0.00242894,0,1.31642,-2.6045,0,-0.0039651,-0.00243475,0,1.318,-2.60949,0,-0.033738,0.00244382
5.54776,-6.10976e-11,-0.000410226,0,-2.42767e-06,-4.01063e-08,0,-0.00444138,-0.000555237,0,0.0936106,-2.92152,0,-0.00444684,-0.00055909,0,0.0983875,-2.92359,0,-0.0337376,0.00244118
5.61933,-1.71084e-07,-0.000415424,0,-6.27945e-05,-0.000110665,0,0.00231844,-0.00429218,0,2.47973,1.45225,0,0.00231908,-0.00429884,0,2.48653,1.45167,0,-0.0336852,0.00193924
5.68957,-2.26014e-07,-0.000420734,0,1.11894e-05,-0.000145422,0,0.00448846,0.000272935,0,-0.44225,2.82372,0,0.00449338,0.000277462,0,-0.442692,2.82903,0,-0.0337372,0.00252904
5.75547,-1.30671e-07,-0.000425477,0,-7.22096e-05,-8.48517e-05,0,0.000720871,-0.00486666,0,2.85135,0.429959,0,0.000720535,-0.00487333,0,2.85953,0.432467,0,-0.0337309,0.000943221
5.82462,-1.82352e-07,-0.000430612,0,-5.79166e-05,-0.000117827,0,0.0027613,-0.00401175,0,2.28845,1.73242,0,0.00276741,-0.00401447,0,2.29203,1.73792,0,-0.0336845,0.00214852
5.88552,-2.11347e-07,-0.000435264,0,3.70963e-05,-0.000136172,0,0.00390816,0.00186551,0,-1.4722,2.45222,0,0.00391374,0.00186919,0,-1.46166,2.46901,0,-0.0336959,0.000226202
5.95394,-2.09443e-07,-0.000440326,0,3.90674e-05,-0.000134969,0,0.00383367,0.00198147,0,-1.54282,2.40977,0,0.0038376,0.00198687,0,-1.54692,2.41634,0,-0.0336744,0.00167707
6.01402,-1.19881e-07,-0.000444821,0,7.29741e-05,-7.79239e-05,0,0.000292246,0.004042,0,-2.88047,0.159365,0,0.000295792,0.00404767,0,-2.89087,0.155162,0,-0.0337391,0.002132
6.08053,-2.21297e-07,-0.000449662,0,2.3363e-05,-0.000142449,0,0.00430107,0.00100261,0,-0.924206,2.70799,0,0.00430768,0.00100165,0,-0.923517,2.70964,0,-0.0337402,0.00205551
6.14568,-9.59594e-08,-0.000454331,0,-7.2378e-05,-6.2518e-05,0,-0.000653355,-0.00489119,0,2.85957,-0.45264,0,-0.0006505,-0.00489724,0,2.86463,-0.45125,0,-0.0337101,0.00248604
6.21046,-4.43219e-08,-0.000459323,0,5.8329e-05,-2.90275e-05,0,-0.00269365,0.00309986,0,-2.3048,-1.77578,0,-0.0026941,0.00310653,0,-2.30829,-1.77679,0,-0.0337411,0.00244839
6.27477,-2.19632e-07,-0.000463948,0,-2.62727e-05,-0.000141407,0,0.00423525,-0.00209496,0,1.04033,2.66458,0,0.00424188,-0.00209415,0,1.03751,2.67069,0,-0.0337377,0.00213236
6.3396,-1.35151e-08,-0.000468729,0,-3.49264e-05,-8.87124e-06,0,-0.00390875,-0.0025939,0,1.38011,-2.57213,0,-0.00391543,-0.00259392,0,1.38213,-2.57455,0,-0.0337379,0.00211277
6.40389,-1.75381e-07,-0.000473632,0,6.10621e-05,-0.000113387,0,0.00248773,0.00330017,0,-2.41171,1.556,0,0.00248966,0.00330657,0,-2.41754,1.56324,0,-0.0337272,0.00129226
6.46449,-3.97651e-08,-0.000478104,0,5.59574e-05,-2.60558e-05,0,-0.00287283,0.00293502,0,-2.20891,-1.89288,0,-0.00287529,0.00294123,0,-2.21662,-1.89472,0,-0.0311778,0.00141748
6.53183,-1.08727e-07,-0.00048311,0,7.30905e-05,-7.07508e-05,0,-0.000148643,0.00400604,0,-2.88932,-0.131233,0,-0.000145485,0.00401193,0,-2.89122,-0.121545,0,-0.0337421,0.00225156
6.594,-3.33994e-08,-0.000487514,0,-5.21914e-05,-2.18869e-05,0,-0.00312294,-0.00366783,0,2.04948,-2.06276,0,-0.00312863,-0.00367135,0,2.07821,-2.05455,0,-0.0311513,0.00106435
6.66342,-1.01895e-07,-0.000492614,0,-7.28384e-05,-6.63473e-05,0,-0.000418745,-0.00496021,0,2.87853,-0.303298,0,-0.000415712,-0.00496616,0,2.88208,-0.297741,0,-0.0337144,0.00240068
6.72119,-4.58448e-08,-0.000496908,0,-5.90826e-05,-3.00083e-05,0,-0.00263115,-0.00410128,0,2.33005,-1.74269,0,-0.00263615,-0.00410572,0,2.34264,-1.73231,0,-0.0337147,0.000948259
6.78423,-2.05696e-07,-0.000501728,0,4.25826e-05,-0.000132601,0,0.00368412,0.00213995,0,-1.68504,2.31691,0,0.0036908,0.00214018,0,-1.68271,2.32191,0,-0.033734,0.00251439
6.8444,-1.06737e-07,-0.000506224,0,7.30368e-05,-6.94694e-05,0,-0.000226211,0.00397846,0,-2.88794,-0.177018,0,-0.000225311,0.00398508,0,-2.88836,-0.177108,0,-0.0337421,0.000827623
6.90523,-2.31149e-10,-0.000510616,0,4.71478e-06,-1.53091e-07,0,-0.00443412,-0.000222439,0,-0.186734,-2.91768,0,-0.00444064,-0.000223918,0,-0.186146,-2.91849,0,-0.0337421,0.00126211
6.9662,-1.02247e-07,-0.000515004,0,-7.28599e-05,-6.65745e-05,0,-0.000404774,-0.00498397,0,2.87951,-0.291347,0,-0.000401807,-0.00498996,0,2.8828,-0.291723,0,-0.0337407,0.00234605
7.03399,-6.16197e-08,-0.000520028,0,-6.5355e-05,-4.02751e-05,0,-0.00201012,-0.00451225,0,2.58294,-1.33131,0,-0.00200958,-0.00451891,0,2.58582,-1.33172,0,-0.0337317,0.00232176
7.09959,-2.68622e-08,-0.000525054,0,4.76069e-05,-1.76261e-05,0,-0.00338216,0.00237531,0,-1.88615,-2.21623,0,-0.00338642,0.00238046,0,-1.87896,-2.23805,0,-0.0307793,0.000755237
7.16919,-5.41632e-10,-0.000530116,0,-7.21123e-06,-3.55203e-07,0,-0.0044225,-0.000965594,0,0.284965,-2.90747,0,-0.00442771,-0.000969784,0,0.285353,-2.91272,0,-0.0337375,0.00243263
7.2373,-3.30716e-10,-0.000535172,0,5.63796e-06,-2.18861e-07,0,-0.00443046,-0.000190069,0,-0.222701,-2.91363,0,-0.00443644,-0.000193059,0,-0.223191,-2.91734,0,-0.0337399,0.00229022
7.30072,-2.2662e-07,-0.000539839,0,-8.36331e-06,-0.000145806,0,0.00451189,-0.00105712,0,0.336471,2.83808,0,0.00451784,-0.00106016,0,0.324963,2.84509,0,-0.0337179,0.00159276
7.36653,-9.35539e-08,-0.000544608,0,-7.21352e-05,-6.09644e-05,0,-0.000748394,-0.00496522,0,2.85153,-0.51546,0,-0.000745707,-0.00497134,0,2.85346,-0.511304,0,-0.0337357,0.00246208
