t,x1,y1,z1,vx1,vy1,vz1,x2,y2,z2,vx2,vy2,vz2,x3,y3,z3,vx3,vy3,vz3,energy,distance
4.81761,-1.14183e-07,-0.000356125,0,-7.31427e-05,-7.42617e-05,0,6.67341e-05,-0.00484842,0,2.89,0.011463,0,7.06406e-05,-0.00485384,0,2.89467,0.0134242,0,-0.0337293,0.00257116
4.90686,-2.00302e-07,-0.000362765,0,-4.69893e-05,-0.000129202,0,0.00347275,-0.0032714,0,1.86148,2.17625,0,0.00347561,-0.00327744,0,1.85478,2.1937,0,-0.0337298,0.00189488
4.99612,-2.25945e-07,-0.000369457,0,1.14659e-05,-0.000145378,0,0.004485,0.00034262,0,-0.455383,2.81979,0,0.00449141,0.000344533,0,-0.451427,2.82953,0,-0.0337392,0.000601737
5.08373,-2.27348e-07,-0.000375914,0,-1.76219e-06,-0.000146263,0,0.00454079,-0.000486509,0,0.0737804,2.85872,0,0.00454656,-0.000483133,0,0.0655871,2.86059,0,-0.0337383,0.00238898
5.17299,-1.89865e-07,-0.000382602,0,5.38921e-05,-0.000122583,0,0.00305852,0.00295373,0,-2.12195,1.92787,0,0.00306438,0.00295695,0,-2.14025,1.91859,0,-0.0337396,0.00144673
5.26224,-9.90715e-08,-0.00038923,0,7.2623e-05,-6.45289e-05,0,-0.000528685,0.00406635,0,-2.86754,-0.372104,0,-0.000529045,0.00407302,0,-2.87603,-0.372747,0,-0.0337273,0.000287869
5.35149,-1.77785e-08,-0.000395778,0,3.96343e-05,-1.16761e-05,0,-0.00374024,0.00201795,0,-1.56808,-2.46168,0,-0.00374675,0.00201945,0,-1.5665,-2.46317,0,-0.0336833,0.00151211
5.44073,-4.98818e-09,-0.000402282,0,-2.16548e-05,-3.27609e-06,0,-0.00424603,-0.00171953,0,0.851851,-2.79041,0,-0.00425251,-0.00171788,0,0.860775,-2.79878,0,-0.033742,0.00232159
5.52991,-6.48971e-08,-0.000408807,0,-6.63808e-05,-4.24054e-05,0,-0.00188078,-0.00446539,0,2.62241,-1.24837,0,-0.00187972,-0.00447199,0,2.62749,-1.24618,0,-0.0336984,0.00250297
5.61916,-1.60506e-07,-0.000415406,0,-6.63584e-05,-0.000103928,0,0.00190033,-0.0045082,0,2.62371,1.1795,0,0.00190061,-0.00451487,0,2.62442,1.19161,0,-0.0337421,0.00172907
5.70839,-2.22184e-07,-0.000422073,0,-2.16364e-05,-0.000143014,0,0.0043362,-0.00176447,0,0.859558,2.72602,0,0.00434272,-0.00176595,0,0.851611,2.73632,0,-0.0337352,0.0003512
5.7976,-2.11981e-07,-0.000428761,0,3.64082e-05,-0.000136573,0,0.00393375,0.0018288,0,-1.43391,2.48228,0,0.00393827,0.00183372,0,-1.44552,2.47062,0,-0.0336823,0.00136569
5.88678,-1.38839e-07,-0.00043541,0,7.11425e-05,-9.00801e-05,0,0.00104125,0.00394725,0,-2.81573,0.631728,0,0.00104611,0.00395184,0,-2.81076,0.644201,0,-0.0337292,0.00247013
5.97604,-4.4704e-08,-0.00044199,0,5.85167e-05,-2.92763e-05,0,-0.00267563,0.00313093,0,-2.30477,-1.76711,0,-0.0026819,0.00313325,0,-2.32317,-1.76579,0,-0.0337156,0.00242134
6.06509,-1.73743e-09,-0.000448504,0,1.28768e-05,-1.14459e-06,0,-0.00437494,0.000333475,0,-0.512559,-2.87625,0,-0.0043807,0.000336872,0,-0.505835,-2.88152,0,-0.0337334,0.00155009
6.15436,-2.74833e-08,-0.000455011,0,-4.80874e-05,-1.80198e-05,0,-0.00335735,-0.00338287,0,1.90373,-2.20336,0,-0.00336211,-0.00338756,0,1.89938,-2.21978,0,-0.0336702,0.000270072
6.2436,-1.1419e-07,-0.00046157,0,-7.31455e-05,-7.42663e-05,0,6.7867e-05,-0.00495325,0,2.8926,0.0110156,0,7.00657e-05,-0.00495956,0,2.89229,0.0142327,0,-0.0337354,0.00141321
6.33286,-2.00723e-07,-0.000468211,0,-4.66706e-05,-0.000129469,0,0.00348969,-0.00335686,0,1.8399,2.20235,0,0.00349198,-0.00336314,0,1.85116,2.18877,0,-0.0337201,0.00229358
6.42209,-2.26214e-07,-0.000474898,0,1.03432e-05,-0.000145548,0,0.00449636,0.000166304,0,-0.403708,2.83304,0,0.0045013,0.000170816,0,-0.414312,2.82967,0,-0.0337416,0.0025614
6.51134,-1.74589e-07,-0.000481578,0,6.13906e-05,-0.000112884,0,0.00245452,0.00331377,0,-2.43007,1.53738,0,0.00246028,0.00331716,0,-2.42516,1.54208,0,-0.0336305,0.00202351
6.60047,-8.90265e-08,-0.000488183,0,7.15541e-05,-5.80442e-05,0,-0.000925254,0.00389791,0,-2.82582,-0.626115,0,-0.000926913,0.00390438,0,-2.83321,-0.6316,0,-0.0337242,0.000192226
6.68972,-1.2754e-08,-0.000494725,0,3.39861e-05,-8.38235e-06,0,-0.00393893,0.00157417,0,-1.34955,-2.59104,0,-0.00394544,0.00157566,0,-1.33833,-2.5943,0,-0.0337284,0.00114123
6.77898,-9.11069e-09,-0.000501228,0,-2.89822e-05,-5.98172e-06,0,-0.00408292,-0.0022641,0,1.14951,-2.68458,0,-0.00408958,-0.00226351,0,1.14262,-2.69063,0,-0.0337171,0.00211595
6.86823,-8.06665e-08,-0.000507764,0,-7.02202e-05,-5.26304e-05,0,-0.00125775,-0.00480557,0,2.7729,-0.838341,0,-0.00125559,-0.0048119,0,2.78064,-0.847535,0,-0.0337419,0.00258049
6.95748,-1.75024e-07,-0.000514376,0,-6.1229e-05,-0.000113172,0,0.0024743,-0.00429554,0,2.41963,1.55785,0,0.00247487,-0.0043022,0,2.42281,1.54439,0,-0.0337364,0.00214216
7.04673,-2.2617e-07,-0.000521055,0,-1.05353e-05,-0.000145523,0,0.00449377,-0.00117513,0,0.41635,2.82639,0,0.00450042,-0.0011745,0,0.416863,2.83442,0,-0.0337249,0.00107513
7.13597,-1.99923e-07,-0.000527745,0,4.72645e-05,-0.00012895,0,0.00345692,0.00240042,0,-1.86578,2.17848,0,0.00346144,0.00240535,0,-1.87225,2.1716,0,-0.0336237,0.000564076
7.22523,-1.12994e-07,-0.000534384,0,7.31273e-05,-7.34971e-05,0,2.01887e-05,0.00395901,0,-2.89003,-0.0221979,0,2.32041e-05,0.00396498,0,-2.89343,-0.0133834,0,-0.0337409,0.00200885
7.31449,-2.59349e-08,-0.000540943,0,4.68901e-05,-1.70195e-05,0,-0.00341764,0.00231768,0,-1.85137,-2.24962,0,-0.00342428,0.00231848,0,-1.85705,-2.25264,0,-0.0336782,0.00242745
7.40375,-2.05901e-09,-0.00054745,0,-1.40085e-05,-1.35144e-06,0,-0.00436198,-0.00139955,0,0.557247,-2.87029,0,-0.00436822,-0.00139716,0,0.55065,-2.87111,0,-0.0337303,0.00235722
7.49299,-5.80689e-08,-0.000553971,0,-6.41425e-05,-3.79665e-05,0,-0.00214987,-0.00447063,0,2.53337,-1.41625,0,-0.00215065,-0.00447727,0,2.5395,-1.42935,0,-0.033728,0.00167961
7.5822,-1.50602e-07,-0.000560559,0,-6.8943e-05,-9.76094e-05,0,0.00150773,-0.0048086,0,2.72788,0.931139,0,0.00151,-0.00481488,0,2.72465,0.940257,0,-0.0337326,2.38577e-05
7.67146,-2.19362e-07,-0.000567225,0,-2.67126e-05,-0.000141238,0,0.0042253,-0.00222275,0,1.05457,2.65745,0,0.00423041,-0.00222707,0,1.05806,2.6644,0,-0.0336724,0.00146513
7.76067,-2.15801e-07,-0.000573914,0,3.18432e-05,-0.000138982,0,0.00408528,0.00140097,0,-1.26027,2.56739,0,0.00408882,0.00140664,0,-1.25813,2.57605,0,-0.0336268,0.00241741
7.84979,-1.51324e-07,-0.000580561,0,6.87515e-05,-9.80607e-05,0,0.00153471,0.00366054,0,-2.71104,0.957505,0,0.00154006,0.00366456,0,-2.72635,0.949586,0,-0.033723,0.0024676
7.93904,-5.63661e-08,-0.000587152,0,6.35001e-05,-3.68716e-05,0,-0.00221509,0.00329389,0,-2.51611,-1.45648,0,-0.00222011,0.0032983,0,-2.50595,-1.47572,0,-0.0337358,0.00145573
8.02829,-1.60131e-09,-0.000593672,0,1.23662e-05,-1.05575e-06,0,-0.00437993,0.000158496,0,-0.484646,-2.8832,0,-0.00438647,0.000159877,0,-0.493367,-2.88158,0,-0.0337419,0.000169045
8.11739,-2.05207e-08,-0.000600176,0,-4.2299e-05,-1.3461e-05,0,-0.00363183,-0.0031747,0,1.67895,-2.38618,0,-0.00363829,-0.00317642,0,1.66637,-2.3975,0,-0.0337373,0.00155443
8.20658,-9.91634e-08,-0.000606724,0,-7.26555e-05,-6.45853e-05,0,-0.000526764,-0.00506155,0,2.8736,-0.374804,0,-0.000523699,-0.00506749,0,2.87255,-0.365586,0,-0.0337401,0.00251024
8.29584,-1.90243e-07,-0.000613353,0,-5.36853e-05,-0.000122835,0,0.00307579,-0.00393285,0,2.12086,1.93613,0,0.003077,-0.00393943,0,2.12498,1.9303,0,-0.0336815,0.00242537
8.38509,-2.27332e-07,-0.00062004,0,2.13211e-06,-0.000146253,0,0.00454,-0.0004879,0,-0.0842184,2.85531,0,0.00454611,-0.000485203,0,-0.0844045,2.86317,0,-0.0337333,0.00171063
8.47433,-1.8648e-07,-0.000626722,0,5.57815e-05,-0.000120433,0,0.0029253,0.00282527,0,-2.20519,1.83887,0,0.00292985,0.00283017,0,-2.20643,1.83758,0,-0.0336166,0.000200751
8.56358,-9.42166e-08,-0.000633347,0,7.21764e-05,-6.13972e-05,0,-0.00072144,0.00379354,0,-2.84973,-0.493873,0,-0.000720257,0.00380012,0,-2.85852,-0.49866,0,-0.033733,0.00149328
8.65282,-1.57344e-08,-0.000639892,0,3.74737e-05,-1.03391e-05,0,-0.00382098,0.00164301,0,-1.47535,-2.51397,0,-0.00382767,0.00164305,0,-1.48835,-2.51662,0,-0.0337324,0.00225941
8.74208,-6.79389e-09,-0.000646396,0,-2.5166e-05,-4.45988e-06,0,-0.00417462,-0.00217698,0,0.993795,-2.74534,0,-0.00418112,-0.00217541,0,0.996519,-2.75022,0,-0.0337104,0.00246617
8.83134,-7.53582e-08,-0.000652928,0,-6.9126e-05,-4.91906e-05,0,-0.00146712,-0.00488098,0,2.72975,-0.977007,0,-0.00146603,-0.00488757,0,2.73725,-0.980918,0,-0.033714,0.00213827
8.92054,-1.67171e-07,-0.00065953,0,-6.42222e-05,-0.000108178,0,0.00216292,-0.00462249,0,2.54186,1.34702,0,0.0021652,-0.00462878,0,2.53731,1.3602,0,-0.033742,0.000682982
9.0098,-2.24658e-07,-0.000666206,0,-1.57464e-05,-0.000144573,0,0.00443422,-0.00164202,0,0.616287,2.79118,0,0.00444035,-0.00164468,0,0.629054,2.79445,0,-0.033741,0.000865339
9.09903,-2.05778e-07,-0.000672896,0,4.25082e-05,-0.000132652,0,0.00368922,0.00196168,0,-1.68149,2.31827,0,0.00369223,0.00196765,0,-1.68038,2.32453,0,-0.0336375,0.00210877
9.18829,-1.22618e-07,-0.000679542,0,7.28316e-05,-7.96815e-05,0,0.000400094,0.00380073,0,-2.87545,0.228718,0,0.000404431,0.00380582,0,-2.88461,0.224808,0,-0.0337387,0.00260289
9.27755,-3.23169e-08,-0.000686109,0,5.14721e-05,-2.11948e-05,0,-0.00316538,0.00245363,0,-2.03382,-2.08312,0,-0.00317181,0.00245546,0,-2.03698,-2.08892,0,-0.0336605,0.00215489
9.36679,-5.16531e-10,-0.000692618,0,-7.04303e-06,-3.38362e-07,0,-0.00442281,-0.00112031,0,0.28194,-2.91101,0,-0.00442939,-0.0011191,0,0.275076,-2.91052,0,-0.0337407,0.00122146
9.45604,-4.94626e-08,-0.000699134,0,-6.07374e-05,-3.23635e-05,0,-0.00248863,-0.00440481,0,2.39285,-1.64941,0,-0.00249254,-0.00441023,0,2.41072,-1.63933,0,-0.0337316,0.0001477
9.54527,-1.42564e-07,-0.000705716,0,-7.05602e-05,-9.24713e-05,0,0.0011889,-0.0050502,0,2.78732,0.735185,0,0.00119307,-0.00505542,0,2.79311,0.729853,0,-0.0337166,0.00178355
9.63453,-2.16044e-07,-0.000712377,0,-3.15303e-05,-0.000139148,0,0.00409492,-0.00266542,0,1.23958,2.58514,0,0.00409841,-0.00267112,0,1.25408,2.57145,0,-0.0336956,0.00247147
9.72374,-2.19221e-07,-0.000719065,0,2.69324e-05,-0.000141138,0,0.00422034,0.000951884,0,-1.06123,2.65754,0,0.00422426,0.000957294,0,-1.06879,2.65642,0,-0.0336794,0.00243438
9.81298,-1.50952e-07,-0.00072573,0,6.88338e-05,-9.78222e-05,0,0.0015205,0.00352021,0,-2.72618,0.938488,0,0.00152487,0.00352526,0,-2.71771,0.949743,0,-0.0337355,0.00162388
9.90206,-6.70749e-08,-0.000732313,0,6.69927e-05,-4.38305e-05,0,-0.00179316,0.003366,0,-2.64578,-1.18734,0,-0.0017951,0.00337239,0,-2.6525,-1.1945,0,-0.0337098,0.000525614
9.99094,-1.49151e-08,-0.000738838,0,3.6558e-05,-9.80296e-06,0,-0.00385338,0.00148835,0,-1.44924,-2.53517,0,-0.00386007,0.00148832,0,-1.44204,-2.53782,0,-0.0337042,0.00224581
10.0802,-7.2865e-09,-0.000745341,0,-2.60325e-05,-4.78248e-06,0,-0.00415513,-0.00232849,0,1.02915,-2.73284,0,-0.00416165,-0.002327,0,1.02969,-2.73721,0,-0.0337104,0.00246778
10.1694,-7.20229e-08,-0.000751871,0,-6.83404e-05,-4.70272e-05,0,-0.00159884,-0.00493016,0,2.69832,-1.05894,0,-0.0015981,-0.0049368,0,2.70655,-1.07008,0,-0.0337394,0.00205047
10.2586,-1.66968e-07,-0.000758475,0,-6.42946e-05,-0.00010805,0,0.00215486,-0.00472556,0,2.54148,1.35089,0,0.00215718,-0.00473183,0,2.54342,1.3462,0,-0.0337004,0.00064424
10.3478,-2.23935e-07,-0.000765145,0,-1.76865e-05,-0.000144119,0,0.0044057,-0.00186106,0,0.701544,2.7693,0,0.00441167,-0.00186407,0,0.697235,2.78041,0,-0.0337294,0.00100685
10.4371,-2.06748e-07,-0.000771838,0,4.16363e-05,-0.000133263,0,0.00372756,0.0018091,0,-1.64732,2.34173,0,0.00373058,0.00181506,0,-1.64559,2.34945,0,-0.033637,0.00215964
10.5263,-1.24811e-07,-0.000778485,0,7.2689e-05,-8.10885e-05,0,0.000486739,0.00369431,0,-2.87104,0.282977,0,0.000491176,0.00369931,0,-2.87775,0.281826,0,-0.0337223,0.00260495
